GEOID,STATEA,STATE,COUNTYA,ALT0E001,ALT0E002,ALT0E003,ALT0E004,ALT0E005,ALT0E006,ALT0E007,ALT0E008,ALT0E009,ALT0E010,ALT0E011,ALT0E012,ALT0E013,ALT0E014,ALT0E015,ALT0E016,ALT0E017,ALT0E018,ALT0E019,ALT0E020,ALT0E021,ALT0E022,ALT0E023,ALT0E024,ALT0E025,ALT0E026,ALT0E027,ALT0E028,ALT0E029,ALT0E030,ALT0E031,ALT0E032,ALT0E033,ALT0E034,ALT0E035,ALT0E036,ALT0E037,ALT0E038,ALT0E039,ALT0E040,ALT0E041,ALT0E042,ALT0E043,ALT0E044,ALT0E045,ALT0E046,ALT0E047,ALT0E048,ALT0E049,ALUBE001,ALUCE001,ALUCE002,ALUCE003,ALUCE004,ALUCE005,ALUCE006,ALUCE007,ALUCE008,ALUCE009,ALUCE010
1001,1,AL,1,55221,26745,1686,1923,2154,1272,764,388,376,991,1647,1602,1927,1750,2033,2040,1617,516,845,469,538,974,585,378,270,28476,1556,1967,2160,1326,672,312,263,1092,1762,1713,2141,1898,2049,2051,1913,653,684,576,941,1062,773,575,337,55221,55221,42741,10315,230,534,24,511,866,74,792
1003,1,AL,3,195121,95314,5261,6366,6675,3887,2209,736,958,3527,5754,5540,5550,6493,6420,6704,6213,2617,3939,2653,3489,3888,3127,1995,1313,99807,5233,6421,6193,3605,2092,884,1326,2747,5679,5767,5494,7090,6775,7303,6830,2664,4793,2581,3697,4746,2991,2309,2587,195121,195121,168646,18735,1166,1307,0,1870,3397,738,2659
1005,1,AL,5,26932,14497,758,891,844,503,288,187,200,729,1186,1206,1242,795,1093,989,841,405,478,320,401,498,295,223,125,12435,718,861,726,437,265,207,87,423,786,692,709,614,791,910,1007,274,465,304,485,608,446,327,293,26932,26932,12756,12595,52,244,0,928,357,5,352
1007,1,AL,7,22604,12073,540,678,750,564,417,113,129,473,956,935,871,943,906,998,659,343,344,220,285,496,197,172,84,10531,593,780,670,344,278,171,132,343,589,606,670,961,482,745,692,251,423,165,415,405,368,260,188,22604,22604,17327,4846,93,21,0,7,310,0,310
1009,1,AL,9,57710,28512,1824,1628,2209,1267,830,266,383,930,1653,1792,1648,2060,2061,2134,1790,655,1146,747,880,1058,746,515,290,29198,1721,2145,1712,1178,648,262,350,949,1636,1687,1540,2197,1975,2076,1950,733,1163,965,901,1253,877,731,549,57710,57710,54881,884,326,83,0,555,981,22,959
1011,1,AL,11,10678,5660,364,384,245,124,45,130,139,207,253,430,646,418,430,413,348,183,254,140,105,163,144,41,54,5018,311,276,330,200,87,0,136,262,338,300,241,381,258,320,245,207,215,181,219,136,113,139,123,10678,10678,2845,7550,124,22,0,0,137,0,137
1013,1,AL,13,20354,9502,633,764,664,409,224,64,165,355,513,600,460,613,567,648,535,401,418,255,273,379,219,186,157,10852,610,625,650,373,134,150,129,409,651,692,687,593,675,783,887,318,331,218,378,451,412,398,298,20354,20354,11023,8961,13,81,0,59,217,0,217
1015,1,AL,15,116648,56274,3571,3972,3632,2323,1632,1221,1096,1892,3743,3453,3004,3895,3720,4033,3593,1657,2241,1169,1540,2093,1223,987,584,60374,3245,3566,3536,2236,1589,807,757,2873,3914,3653,3540,3728,3831,4303,4517,1839,1969,1300,1904,2394,2039,1528,1306,116648,116648,87615,23895,223,1000,7,1162,2746,182,2564
1017,1,AL,17,34079,16258,997,1028,1033,673,391,179,187,695,968,894,819,1219,1106,1266,1390,382,499,368,562,670,418,344,170,17821,1043,928,1025,641,326,152,126,841,1005,1009,1032,1101,1174,1308,1400,576,544,470,508,921,624,454,613,34079,34079,19652,13738,57,260,9,12,351,18,333
1019,1,AL,19,26008,12975,722,688,845,506,281,55,241,416,595,647,650,904,949,1008,964,419,729,461,594,468,425,292,116,13033,563,821,709,492,223,224,95,393,638,644,740,765,898,982,1040,430,576,487,504,720,586,322,181,26008,26008,24167,1281,144,88,4,17,307,5,302
1021,1,AL,21,43819,21619,1399,1548,1487,902,516,210,249,960,1296,1361,1534,1569,1357,1579,1386,576,766,461,575,787,666,196,239,22200,1421,1273,1671,915,409,277,402,708,1371,1376,1519,1419,1441,1466,1498,724,692,595,492,976,649,447,459,43819,43819,36828,4528,158,126,0,1805,374,22,352
