GEOID,YEAR,ABDOE001,ABDOE002,ABDOE003,ABDOE004,ABDOE005,ABDOE006,ABDOE007,ABDOE008,ABDOE009,ABDOE010,ABDOE011,ABDOE012,ABDOE013,ABDOE014,ABDOE015,ABDOE016,ABDOE017,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ABDPE001
1001,2012,20304,1233,1235,852,990,1077,1425,1098,1063,777,1756,2039,2532,2296,916,629,386,55221,53781,41848,10236,230,534,8,79,846,54,792,1440,893,79,0,0,16,432,20,20,0,52475
1003,2012,73058,4912,3653,4452,4412,4147,3427,3897,4281,3202,6295,7486,8861,4941,3391,3023,2678,195121,186345,162153,18533,1094,1294,0,188,3083,485,2598,8776,6493,202,72,13,0,1682,314,253,61,50183
1005,2012,9145,1145,995,723,729,499,398,548,498,401,720,813,785,383,202,245,61,26932,25691,12454,12579,52,119,0,135,352,0,352,1241,302,16,0,125,0,793,5,5,0,35634
1007,2012,7078,533,448,682,588,455,573,464,535,265,557,543,755,329,174,134,43,22604,22102,16840,4838,93,21,0,0,310,0,310,502,487,8,0,0,0,7,0,0,0,37984
1009,2012,20934,1724,1210,1263,1281,1305,1467,1180,1159,1007,1940,2490,2276,1398,523,531,180,57710,52730,50700,884,178,83,0,43,842,4,838,4980,4181,0,148,0,0,512,139,18,121,44409
1011,2012,3746,621,281,177,377,213,208,140,246,155,375,421,291,103,66,41,31,10678,10205,2372,7550,124,22,0,0,137,0,137,473,473,0,0,0,0,0,0,0,0,34804
1013,2012,8253,1088,848,877,626,504,472,483,388,363,650,645,593,411,133,134,38,20354,20114,10856,8924,13,81,0,23,217,0,217,240,167,37,0,0,0,36,0,0,0,31571
1015,2012,45348,5215,3400,3256,2851,2654,2655,2122,2647,1976,4073,4101,4577,2823,1356,925,717,116648,112573,85184,23703,223,1000,7,23,2433,63,2370,4075,2431,192,0,0,0,1139,313,119,194,40919
1017,2012,13901,1783,1430,1079,1076,849,1034,741,781,640,791,1201,1182,594,328,173,219,34079,33927,19522,13728,57,260,9,0,351,18,333,152,130,10,0,0,0,12,0,0,0,32835
1019,2012,11726,1261,1129,766,1159,851,699,674,453,487,931,871,1147,582,247,311,158,26008,25617,23854,1236,144,72,4,0,307,5,302,391,313,45,0,16,0,17,0,0,0,34983
1021,2012,16281,1478,1114,896,1137,1056,1212,909,1051,590,1016,1741,1877,942,572,447,243,43819,40469,35289,4471,158,126,0,85,340,0,340,3350,1539,57,0,0,0,1720,34,22,12,41785
1023,2012,5526,802,485,537,343,343,304,249,218,215,331,504,532,315,123,140,85,13395,13347,7487,5753,2,0,0,2,103,0,103,48,0,48,0,0,0,0,0,0,0,34325
1025,2012,9791,1867,760,768,761,630,402,413,349,508,566,697,914,697,106,191,162,25070,24985,13376,11346,7,90,96,0,70,0,70,85,51,0,0,0,0,24,10,10,0,30951
1027,2012,5572,654,499,490,418,476,230,363,333,200,503,357,499,307,154,63,26,13537,13107,10821,1948,98,0,0,47,193,3,190,430,244,15,7,0,0,145,19,19,0,35286
1029,2012,5639,550,584,299,432,461,365,289,311,250,412,448,631,259,207,53,88,15002,14657,13877,442,33,53,0,0,252,0,252,345,221,0,0,0,0,85,39,22,17,37008
1031,2012,19086,1607,1544,1136,1218,1058,1015,871,982,861,1302,1625,2369,1476,849,839,334,50884,47608,36392,8753,414,627,0,33,1389,6,1383,3276,2675,76,61,0,0,365,99,5,94,45558
1033,2012,22442,2470,1268,1746,1649,1566,1303,1242,1066,1020,1877,2247,2503,1187,537,553,208,54444,53123,42957,8478,312,162,35,0,1179,18,1161,1321,354,0,0,16,0,687,264,256,8,39914
1035,2012,5030,909,710,500,440,238,297,166,215,255,333,360,331,142,63,40,31,12865,12655,6557,5748,37,6,0,2,305,0,305,210,153,4,0,0,0,0,53,0,53,24433
