GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ABDPE001,NAME_M,ABDPM001
"G0100010","2010-2014",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",52475,"Autauga County, Alabama",2760
"G0100030","2010-2014",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",50183,"Baldwin County, Alabama",1378
"G0100050","2010-2014",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",35634,"Barbour County, Alabama",2440
"G0100070","2010-2014",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",37984,"Bibb County, Alabama",3295
"G0100090","2010-2014",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",44409,"Blount County, Alabama",2225
"G0100110","2010-2014",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",34804,"Bullock County, Alabama",7035
"G0100130","2010-2014",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",31571,"Butler County, Alabama",1876
"G0100150","2010-2014",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",40919,"Calhoun County, Alabama",1054
"G0100170","2010-2014",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",32835,"Chambers County, Alabama",2103
"G0100190","2010-2014",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",34983,"Cherokee County, Alabama",2575
"G0100210","2010-2014",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",41785,"Chilton County, Alabama",1962
"G0100230","2010-2014",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",34325,"Choctaw County, Alabama",3162
"G0100250","2010-2014",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",30951,"Clarke County, Alabama",2911
"G0100270","2010-2014",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",35286,"Clay County, Alabama",4672
"G0100290","2010-2014",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",37008,"Cleburne County, Alabama",3386
"G0100310","2010-2014",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",45558,"Coffee County, Alabama",1865
"G0100330","2010-2014",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",39914,"Colbert County, Alabama",2027
"G0100350","2010-2014",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",24433,"Conecuh County, Alabama",3112
"G0100370","2010-2014",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",32340,"Coosa County, Alabama",4160
"G0100390","2010-2014",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",36256,"Covington County, Alabama",1642
"G0100410","2010-2014",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",37349,"Crenshaw County, Alabama",2984
"G0100430","2010-2014",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",39415,"Cullman County, Alabama",1333
"G0100450","2010-2014",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",44473,"Dale County, Alabama",2080
"G0100470","2010-2014",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",26494,"Dallas County, Alabama",2079
"G0100490","2010-2014",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",37977,"DeKalb County, Alabama",1447
"G0100510","2010-2014",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",54159,"Elmore County, Alabama",1922
"G0100530","2010-2014",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",31422,"Escambia County, Alabama",1316
"G0100550","2010-2014",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",38467,"Etowah County, Alabama",1460
"G0100570","2010-2014",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",33144,"Fayette County, Alabama",2632
"G0100590","2010-2014",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",35450,"Franklin County, Alabama",2179
"G0100610","2010-2014",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",36268,"Geneva County, Alabama",2813
"G0100630","2010-2014",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",22170,"Greene County, Alabama",3112
"G0100650","2010-2014",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",30839,"Hale County, Alabama",2480
"G0100670","2010-2014",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",42926,"Henry County, Alabama",2931
"G0100690","2010-2014",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",41077,"Houston County, Alabama",889
"G0100710","2010-2014",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",36874,"Jackson County, Alabama",1789
"G0100730","2010-2014",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",45239,"Jefferson County, Alabama",751
"G0100750","2010-2014",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",36021,"Lamar County, Alabama",1991
"G0100770","2010-2014",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",42703,"Lauderdale County, Alabama",1341
"G0100790","2010-2014",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",40356,"Lawrence County, Alabama",2382
"G0100810","2010-2014",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",43641,"Lee County, Alabama",1717
"G0100830","2010-2014",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",49461,"Limestone County, Alabama",1581
"G0100850","2010-2014",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",25678,"Lowndes County, Alabama",3472
"G0100870","2010-2014",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",30254,"Macon County, Alabama",2224
"G0100890","2010-2014",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",58203,"Madison County, Alabama",1351
"G0100910","2010-2014",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",33714,"Marengo County, Alabama",1982
"G0100930","2010-2014",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",33819,"Marion County, Alabama",2219
"G0100950","2010-2014",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",39473,"Marshall County, Alabama",1255
"G0100970","2010-2014",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",43844,"Mobile County, Alabama",786
"G0100990","2010-2014",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",30569,"Monroe County, Alabama",3129
"G0101010","2010-2014",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",44830,"Montgomery County, Alabama",878
"G0101030","2010-2014",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",45341,"Morgan County, Alabama",1639
"G0101050","2010-2014",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",25528,"Perry County, Alabama",3484
"G0101070","2010-2014",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",29839,"Pickens County, Alabama",2268
"G0101090","2010-2014",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",32798,"Pike County, Alabama",2990
"G0101110","2010-2014",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",36498,"Randolph County, Alabama",2374
"G0101130","2010-2014",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",36066,"Russell County, Alabama",1653
"G0101150","2010-2014",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",51317,"St. Clair County, Alabama",1547
"G0101170","2010-2014",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",69723,"Shelby County, Alabama",1339
"G0101190","2010-2014",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",22865,"Sumter County, Alabama",2852
"G0101210","2010-2014",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",35896,"Talladega County, Alabama",1936
"G0101230","2010-2014",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",38644,"Tallapoosa County, Alabama",1830
"G0101250","2010-2014",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",46448,"Tuscaloosa County, Alabama",1247
"G0101270","2010-2014",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",36712,"Walker County, Alabama",1530
"G0101290","2010-2014",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",44731,"Washington County, Alabama",2125
"G0101310","2010-2014",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",23406,"Wilcox County, Alabama",3341
"G0101330","2010-2014",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",34064,"Winston County, Alabama",2550
"G0200130","2010-2014",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",59886,"Aleutians East Borough, Alaska",4139
"G0200160","2010-2014",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",82284,"Aleutians West Census Area, Alaska",6520
"G0200200","2010-2014",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",78121,"Anchorage Municipality, Alaska",1782
"G0200500","2010-2014",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",51930,"Bethel Census Area, Alaska",2995
"G0200600","2010-2014",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",82500,"Bristol Bay Borough, Alaska",6409
"G0200680","2010-2014",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",79167,"Denali Borough, Alaska",13027
"G0200700","2010-2014",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",54846,"Dillingham Census Area, Alaska",2502
"G0200900","2010-2014",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",70408,"Fairbanks North Star Borough, Alaska",2051
"G0201000","2010-2014",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",57551,"Haines Borough, Alaska",9376
"G0201050","2010-2014",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",50268,"Hoonah-Angoon Census Area, Alaska",3709
"G0201100","2010-2014",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",84750,"Juneau City and Borough, Alaska",3755
"G0201220","2010-2014",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",63099,"Kenai Peninsula Borough, Alaska",2400
"G0201300","2010-2014",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",61712,"Ketchikan Gateway Borough, Alaska",4721
"G0201500","2010-2014",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",70529,"Kodiak Island Borough, Alaska",6652
"G0201640","2010-2014",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",47143,"Lake and Peninsula Borough, Alaska",7493
"G0201700","2010-2014",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",72134,"Matanuska-Susitna Borough, Alaska",1556
"G0201800","2010-2014",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",47579,"Nome Census Area, Alaska",2378
"G0201850","2010-2014",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",74609,"North Slope Borough, Alaska",12623
"G0201880","2010-2014",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",63971,"Northwest Arctic Borough, Alaska",4352
"G0201950","2010-2014",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",61492,"Petersburg Borough, Alaska",7990
"G0201980","2010-2014",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",46387,"Prince of Wales-Hyder Census Area, Alaska",2508
"G0202200","2010-2014",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",69635,"Sitka City and Borough, Alaska",5380
"G0202300","2010-2014",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",72868,"Skagway Municipality, Alaska",9017
"G0202400","2010-2014",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",65481,"Southeast Fairbanks Census Area, Alaska",10323
"G0202610","2010-2014",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",81736,"Valdez-Cordova Census Area, Alaska",7417
"G0202700","2010-2014",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",40943,"Wade Hampton Census Area, Alaska",1772
"G0202750","2010-2014",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",48324,"Wrangell City and Borough, Alaska",4208
"G0202820","2010-2014",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",69306,"Yakutat City and Borough, Alaska",6358
"G0202900","2010-2014",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",37796,"Yukon-Koyukuk Census Area, Alaska",2640
"G0400010","2010-2014",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",32396,"Apache County, Arizona",1429
"G0400030","2010-2014",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",45974,"Cochise County, Arizona",1548
"G0400050","2010-2014",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",48540,"Coconino County, Arizona",1918
"G0400070","2010-2014",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",40042,"Gila County, Arizona",1737
