GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",58731,"Autauga County, Alabama",4410
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",58320,"Baldwin County, Alabama",1564
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",32525,"Barbour County, Alabama",2291
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",47542,"Bibb County, Alabama",5504
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",49358,"Blount County, Alabama",2136
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",37785,"Bullock County, Alabama",12122
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",40688,"Butler County, Alabama",2858
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",47255,"Calhoun County, Alabama",2090
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",42289,"Chambers County, Alabama",2979
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",41919,"Cherokee County, Alabama",2465
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",47468,"Chilton County, Alabama",2972
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",35892,"Choctaw County, Alabama",2854
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",37404,"Clarke County, Alabama",3257
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",40845,"Clay County, Alabama",6518
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",44741,"Cleburne County, Alabama",3847
