GEOID,PARTY,CAND_VOTES,TOT_VOTES
1001,DEMOCRAT,7503,27770
1001,OTHER,429,27770
1001,REPUBLICAN,19838,27770
1003,DEMOCRAT,24578,109679
1003,OTHER,1557,109679
1003,REPUBLICAN,83544,109679
1005,DEMOCRAT,4816,10518
1005,OTHER,80,10518
1005,REPUBLICAN,5622,10518
1007,DEMOCRAT,1986,9595
1007,OTHER,84,9595
1007,REPUBLICAN,7525,9595
1009,DEMOCRAT,2640,27588
1009,OTHER,237,27588
1009,REPUBLICAN,24711,27588
1011,DEMOCRAT,3446,4613
1011,OTHER,21,4613
1011,REPUBLICAN,1146,4613
1013,DEMOCRAT,3965,9488
1013,OTHER,65,9488
1013,REPUBLICAN,5458,9488
1015,DEMOCRAT,15216,50983
1015,OTHER,666,50983
1015,REPUBLICAN,35101,50983
1017,DEMOCRAT,6365,15284
1017,OTHER,166,15284
1017,REPUBLICAN,8753,15284
1019,DEMOCRAT,1624,12301
1019,OTHER,94,12301
1019,REPUBLICAN,10583,12301
1021,DEMOCRAT,3073,19310
1021,OTHER,152,19310
1021,REPUBLICAN,16085,19310
1023,DEMOCRAT,3127,7464
1023,OTHER,41,7464
1023,REPUBLICAN,4296,7464
1025,DEMOCRAT,5755,13135
1025,OTHER,56,13135
1025,REPUBLICAN,7324,13135
1027,DEMOCRAT,1267,6930
1027,OTHER,62,6930
1027,REPUBLICAN,5601,6930
1029,DEMOCRAT,675,7227
1029,OTHER,68,7227
1029,REPUBLICAN,6484,7227
1031,DEMOCRAT,5076,22275
1031,OTHER,300,22275
1031,REPUBLICAN,16899,22275
1033,DEMOCRAT,8343,27886
1033,OTHER,340,27886
1033,REPUBLICAN,19203,27886
1035,DEMOCRAT,2966,6441
1035,OTHER,33,6441
1035,REPUBLICAN,3442,6441
1037,DEMOCRAT,1796,5479
1037,OTHER,52,5479
1037,REPUBLICAN,3631,5479
1039,DEMOCRAT,2721,17430
1039,OTHER,123,17430
1039,REPUBLICAN,14586,17430
1041,DEMOCRAT,1700,6617
1041,OTHER,53,6617
1041,REPUBLICAN,4864,6617
1043,DEMOCRAT,4478,41851
1043,OTHER,493,41851
1043,REPUBLICAN,36880,41851
1045,DEMOCRAT,5170,19738
1045,OTHER,265,19738
1045,REPUBLICAN,14303,19738
1047,DEMOCRAT,12230,17864
1047,OTHER,110,17864
1047,REPUBLICAN,5524,17864
1049,DEMOCRAT,4281,29356
1049,OTHER,308,29356
1049,REPUBLICAN,24767,29356
1051,DEMOCRAT,10367,41030
1051,OTHER,499,41030
1051,REPUBLICAN,30164,41030
1053,DEMOCRAT,4918,15910
1053,OTHER,123,15910
1053,REPUBLICAN,10869,15910
1055,DEMOCRAT,11567,47728
1055,OTHER,633,47728
1055,REPUBLICAN,35528,47728
1057,DEMOCRAT,1395,8766
1057,OTHER,71,8766
1057,REPUBLICAN,7300,8766
1059,DEMOCRAT,2086,12578
1059,OTHER,116,12578
1059,REPUBLICAN,10376,12578
1061,DEMOCRAT,1595,12545
1061,OTHER,102,12545
1061,REPUBLICAN,10848,12545
1063,DEMOCRAT,3884,4775
1063,OTHER,16,4775
1063,REPUBLICAN,875,4775
1065,DEMOCRAT,4663,7900
1065,OTHER,45,7900
1065,REPUBLICAN,3192,7900
1067,DEMOCRAT,2606,9298
1067,OTHER,85,9298
1067,REPUBLICAN,6607,9298
1069,DEMOCRAT,12917,46173
1069,OTHER,638,46173
1069,REPUBLICAN,32618,46173
1071,DEMOCRAT,3717,23636
1071,OTHER,249,23636
1071,REPUBLICAN,19670,23636
1073,DEMOCRAT,181688,325848
1073,OTHER,5317,325848
1073,REPUBLICAN,138843,325848
1075,DEMOCRAT,978,7193
1075,OTHER,41,7193
1075,REPUBLICAN,6174,7193
1077,DEMOCRAT,11915,44339
1077,OTHER,703,44339
1077,REPUBLICAN,31721,44339
