,GEOID
19,55061
64,54091
85,54047
91,55073
93,54067
94,55107
101,55119
152,53045
188,53053
193,55078
265,56025
285,55135
287,55141
335,56041
337,55101
378,55055
403,55111
404,55081
405,55085
439,56031
440,55099
442,56027
465,55103
506,55035
520,54101
571,2158
683,55049
686,55033
713,54075
769,55075
911,54051
912,54029
945,55105
991,53057
1025,54021
1026,55123
1027,55113
1029,56011
1079,54095
1081,56005
1086,54043
1121,54053
1142,55007
1172,55015
1173,56007
1181,54071
1192,54105
1194,55095
1210,56009
1238,56043
1247,56001
1266,56035
1287,56029
1304,54003
1307,55127
1321,55139
1359,54065
1360,54009
1370,54001
1417,55063
1452,56039
1472,53039
1473,53077
1485,53063
1486,55093
1599,55045
1604,55109
1630,55131
1631,55133
1642,53051
1659,55027
1667,55117
1732,56033
1753,56037
1781,55047
1826,55059
1880,53043
1888,54023
1889,54093
1907,54007
1911,54037
1925,54055
1932,54013
1943,55019
1944,55001
1952,55065
1956,55039
1959,54011
1966,55051
1971,54079
1972,55137
1973,54081
1975,55053
2031,54059
2032,54061
2073,46102
2079,56015
2092,54089
2094,55087
2102,55041
2120,55079
2121,55083
2124,55125
2125,55129
2128,55021
2143,56013
2168,55037
2172,55067
2187,15005
2213,54063
2215,53041
2228,54035
2251,55011
2274,55115
2292,54057
2334,54069
2356,55023
2370,55097
2406,54085
2417,53061
2428,54039
2445,54041
2446,54031
2447,54033
2458,56023
2502,56003
2505,55089
2512,55017
2514,54027
2532,54073
2557,54005
2579,54025
2590,55013
2613,54077
2625,56019
2645,53069
2676,54087
2684,56021
2704,53049
2725,55043
2765,55077
2804,55121
2812,54107
2813,54097
2824,53047
2888,55029
2891,55031
2892,53067
2893,53073
2905,56045
2931,55025
2945,55071
2949,55005
2965,55091
3032,54109
3041,54099
3042,54045
3053,55069
3065,54083
3083,56017
3107,53075
3113,53059
3125,55057
3138,54017
3158,55009
3169,54049
3170,54103
3171,54015
3189,53071
3218,53055
3219,53065
3223,55003
3226,54019
