,GEOID
4,1000.0
9,1001.0
14,1003.0
19,1005.0
24,1007.0
29,1009.0
34,1011.0
39,1013.0
44,1015.0
49,1017.0
54,1019.0
59,1021.0
64,1023.0
69,1025.0
74,1027.0
79,1029.0
84,1031.0
89,1033.0
94,1035.0
99,1037.0
104,1039.0
109,1041.0
114,1043.0
119,1045.0
124,1047.0
129,1049.0
134,1051.0
139,1053.0
144,1055.0
149,1057.0
154,1059.0
159,1061.0
164,1063.0
169,1065.0
174,1067.0
179,1069.0
184,1071.0
189,1073.0
194,1075.0
199,1077.0
204,1079.0
209,1081.0
214,1083.0
219,1085.0
224,1087.0
229,1089.0
234,1091.0
239,1093.0
244,1095.0
249,1097.0
254,1099.0
259,1101.0
264,1103.0
269,1105.0
274,1107.0
279,1109.0
284,1111.0
289,1113.0
294,1115.0
299,1117.0
304,1119.0
309,1121.0
314,1123.0
319,1125.0
324,1127.0
329,1129.0
334,1131.0
339,1133.0
343,2000.0
348,2013.0
353,2016.0
358,2020.0
363,2050.0
368,2060.0
373,2068.0
378,2070.0
383,2090.0
388,2100.0
393,2105.0
398,2110.0
403,2122.0
408,2130.0
413,2150.0
414,2158.0
419,2164.0
424,2170.0
429,2180.0
434,2185.0
439,2188.0
444,2195.0
449,2198.0
454,2220.0
459,2230.0
464,2240.0
469,2261.0
478,2275.0
483,2282.0
488,2290.0
492,4000.0
497,4001.0
502,4003.0
507,4005.0
512,4007.0
517,4009.0
522,4011.0
527,4012.0
532,4013.0
537,4015.0
542,4017.0
547,4019.0
552,4021.0
557,4023.0
562,4025.0
567,4027.0
571,5000.0
576,5001.0
581,5003.0
586,5005.0
591,5007.0
596,5009.0
601,5011.0
606,5013.0
611,5015.0
616,5017.0
621,5019.0
626,5021.0
631,5023.0
636,5025.0
641,5027.0
646,5029.0
651,5031.0
656,5033.0
661,5035.0
666,5037.0
671,5039.0
676,5041.0
681,5043.0
686,5045.0
691,5047.0
696,5049.0
701,5051.0
706,5053.0
711,5055.0
716,5057.0
721,5059.0
726,5061.0
731,5063.0
736,5065.0
741,5067.0
746,5069.0
751,5071.0
756,5073.0
761,5075.0
766,5077.0
771,5079.0
776,5081.0
781,5083.0
786,5085.0
791,5087.0
796,5089.0
801,5091.0
806,5093.0
811,5095.0
816,5097.0
821,5099.0
826,5101.0
831,5103.0
836,5105.0
841,5107.0
846,5109.0
851,5111.0
856,5113.0
861,5115.0
866,5117.0
871,5119.0
876,5121.0
881,5123.0
886,5125.0
891,5127.0
896,5129.0
901,5131.0
906,5133.0
911,5135.0
916,5137.0
921,5139.0
926,5141.0
931,5143.0
936,5145.0
941,5147.0
946,5149.0
951,6000.0
956,6001.0
961,6003.0
966,6005.0
971,6007.0
976,6009.0
981,6011.0
986,6013.0
991,6015.0
996,6017.0
1001,6019.0
1006,6021.0
1011,6023.0
1016,6025.0
1021,6027.0
1026,6029.0
1031,6031.0
1036,6033.0
1041,6035.0
1046,6037.0
1051,6039.0
1056,6041.0
1061,6043.0
1066,6045.0
1071,6047.0
1076,6049.0
1081,6051.0
1086,6053.0
1091,6055.0
1096,6057.0
1101,6059.0
1106,6061.0
1111,6063.0
1116,6065.0
1121,6067.0
1126,6069.0
1131,6071.0
1136,6073.0
1141,6075.0
1146,6077.0
1151,6079.0
1156,6081.0
1161,6083.0
1166,6085.0
1171,6087.0
1176,6089.0
1181,6091.0
1186,6093.0
1191,6095.0
1196,6097.0
1201,6099.0
1206,6101.0
1211,6103.0
1216,6105.0
1221,6107.0
1226,6109.0
1231,6111.0
1236,6113.0
1241,6115.0
1246,8000.0
1251,8001.0
1256,8003.0
1261,8005.0
1266,8007.0
1271,8009.0
1276,8011.0
1281,8013.0
1286,8014.0
1291,8015.0
1296,8017.0
1301,8019.0
1306,8021.0
1311,8023.0
1316,8025.0
1321,8027.0
1326,8029.0
1331,8031.0
1336,8033.0
1341,8035.0
1346,8037.0
1351,8039.0
1356,8041.0
1361,8043.0
1366,8045.0
1371,8047.0
1376,8049.0
1381,8051.0
1386,8053.0
1391,8055.0
1396,8057.0
1401,8059.0
1406,8061.0
1411,8063.0
1416,8065.0
1421,8067.0
1426,8069.0
1431,8071.0
1436,8073.0
1441,8075.0
1446,8077.0
1451,8079.0
1456,8081.0
1461,8083.0
1466,8085.0
1471,8087.0
1476,8089.0
1481,8091.0
1486,8093.0
1491,8095.0
1496,8097.0
1501,8099.0
1506,8101.0
1511,8103.0
1516,8105.0
1521,8107.0
1526,8109.0
1531,8111.0
1536,8113.0
1541,8115.0
1546,8117.0
1551,8119.0
1556,8121.0
1561,8123.0
1566,8125.0
1571,9000.0
1576,9001.0
1581,9003.0
1586,9005.0
1591,9007.0
1596,9009.0
1601,9011.0
1606,9013.0
1611,9015.0
1615,10000.0
1620,10001.0
1625,10003.0
1630,10005.0
1634,11000.0
1639,11001.0
