,GEOID
5,1001
8,1003
11,1005
14,1007
17,1009
20,1011
23,1013
26,1015
29,1017
32,1019
35,1021
38,1023
41,1025
44,1027
47,1029
50,1031
53,1033
56,1035
59,1037
62,1039
65,1041
68,1043
71,1045
74,1047
77,1049
80,1051
83,1053
86,1055
89,1057
92,1059
95,1061
98,1063
101,1065
104,1067
107,1069
110,1071
113,1073
116,1075
119,1077
122,1079
125,1081
128,1083
131,1085
134,1087
137,1089
140,1091
143,1093
146,1095
149,1097
152,1099
155,1101
158,1103
161,1105
164,1107
167,1109
170,1111
173,1113
176,1115
179,1117
182,1119
185,1121
188,1123
191,1125
194,1127
197,1129
200,1131
203,1133
209,2013
212,2016
215,2020
218,2050
221,2060
224,2068
227,2070
230,2090
233,2100
236,2105
239,2110
242,2122
245,2130
248,2150
252,2164
255,2170
258,2180
261,2185
264,2188
267,2195
270,2198
273,2220
276,2230
279,2240
282,2261
287,2275
290,2282
293,2290
299,4001
302,4003
305,4005
308,4007
311,4009
314,4011
317,4012
320,4013
323,4015
326,4017
329,4019
332,4021
335,4023
338,4025
341,4027
347,5001
350,5003
353,5005
356,5007
359,5009
362,5011
365,5013
368,5015
371,5017
374,5019
377,5021
380,5023
383,5025
386,5027
389,5029
392,5031
395,5033
398,5035
401,5037
404,5039
407,5041
410,5043
413,5045
416,5047
419,5049
422,5051
425,5053
428,5055
431,5057
434,5059
437,5061
440,5063
443,5065
446,5067
449,5069
452,5071
455,5073
458,5075
461,5077
464,5079
467,5081
470,5083
473,5085
476,5087
479,5089
482,5091
485,5093
488,5095
491,5097
494,5099
497,5101
500,5103
503,5105
506,5107
509,5109
512,5111
515,5113
518,5115
521,5117
524,5119
527,5121
530,5123
533,5125
536,5127
539,5129
542,5131
545,5133
548,5135
551,5137
554,5139
557,5141
560,5143
563,5145
566,5147
569,5149
575,6001
578,6003
581,6005
584,6007
587,6009
590,6011
593,6013
596,6015
599,6017
602,6019
605,6021
608,6023
611,6025
614,6027
617,6029
620,6031
623,6033
626,6035
629,6037
632,6039
635,6041
638,6043
