model,lag,cohens_d,p_value
MLP,1,0.56070291,1
MLP,4,0.52247256,1
MLP,3,0.510656435,1
MLP,5,0.506346829,1
MLP,2,0.433338446,1
GRU,4,0.276506807,1
LSTM,1,0.23088115,0.999996492
GRU,3,0.218736522,1
NN,5,0.214296005,0.999999987
LSTM,4,0.206233649,1
GRU,1,0.198974309,0.755275773
LSTM,2,0.156901914,1.68E-05
GRU,2,0.135190613,1
GRU,5,0.121466068,1
LSTM,5,0.094042158,4.65E-11
LSTM,3,0.069233956,4.26E-05
NN,4,0.063895201,0.300745847
NN,3,0.043639385,8.37E-13
ARIMA,1,0.030837711,1.45E-199
NN,2,0.030372744,1
ARIMA,2,0.028559634,4.31E-115
ARIMA,4,0.025075786,3.07E-173
ARIMA,5,0.017855795,1.18E-211
ARIMA,3,0.017762459,1.80E-138
NN,1,0.00688845,1
