model,lag,cohens_d,p_value
MLP,2,0.62711646,1
MLP,5,0.573612666,1
MLP,3,0.413875393,1
MLP,4,0.371408802,1
GRU,1,0.156145457,1
GRU,2,0.15330763,1
GRU,5,0.152663296,0.999999968
LSTM,3,0.144525632,0.466862005
GRU,4,0.135612146,1
LSTM,1,0.132893399,1
LSTM,4,0.125718888,1
NN,5,0.104771527,1
LSTM,5,0.101727975,2.58E-10
LSTM,2,0.101411756,4.12E-18
NN,3,0.097167175,1
GRU,3,0.08635622,1
NN,4,0.035979071,1.58E-05
NN,2,0.029817135,1
ARIMA,1,0.027230773,8.29E-280
ARIMA,2,0.026049241,2.59E-232
ARIMA,3,0.024527532,1.50E-189
ARIMA,4,0.015774169,1.86E-119
MLP,1,0.015467007,1
ARIMA,5,0.010120993,1.44E-53
NN,1,0.002884305,1
