model,lag,cohens_d,p_value
MLP,1,0.617669429,1
GRU,3,0.392010517,1
GRU,5,0.297204564,1
GRU,4,0.27041779,1
MLP,2,0.252563549,6.18E-30
LSTM,1,0.24033055,1
LSTM,2,0.211477124,1
MLP,4,0.197297657,1
LSTM,3,0.196374144,1
LSTM,4,0.17445414,0.999999866
NN,1,0.160136047,3.37E-09
NN,3,0.155355008,2.44E-14
LSTM,5,0.144188193,0.999999999
GRU,2,0.138497881,1
GRU,1,0.131490662,0.004725421
MLP,3,0.119625748,8.32E-09
NN,5,0.103728174,0.999999114
NN,2,0.089346713,0.943412846
NN,4,0.053271194,0.593060716
ARIMA,3,0.013299706,1.32E-106
ARIMA,1,0.012048617,0
ARIMA,2,0.009859257,2.14E-226
MLP,5,0.007723108,0.973083634
ARIMA,4,0.005139527,1.80E-71
ARIMA,5,0.000189816,0.511636028
