model,lag,cohens_d,p_value
MLP,1,0.370105473,1
MLP,2,0.163791387,1
MLP,3,0.526283052,1
MLP,4,0.210002665,2.14E-56
MLP,5,0.100135172,3.54E-14
ARIMA,1,0.030278891,4.88E-268
ARIMA,2,0.025743942,2.75E-182
ARIMA,3,0.031002524,4.67E-247
ARIMA,4,0.02439234,6.53E-13
ARIMA,5,0.004593013,3.00E-23
GRU,1,0.257606016,1
GRU,2,0.109598992,1
GRU,3,0.324082303,1
GRU,4,0.312913479,1
GRU,5,0.331380542,1
LSTM,1,0.035212029,1.74E-16
LSTM,2,0.357018254,1
LSTM,3,0.062342152,1.10E-13
LSTM,4,0.24960884,1
LSTM,5,0.264347037,1
NN,1,0.135544375,2.44E-20
NN,2,0.110614331,0.812262168
NN,3,0.020438234,1.02E-08
NN,4,0.048649193,0.005720889
NN,5,0.003968675,0.999939314
